snapshot_date,store_id,product_id,quantity_on_hand,quantity_reserved,reorder_point,updated_at
2026-07-15,STORE0002,PROD000068,231,11,25,2026-07-15 00:00:00
2026-07-15,STORE0002,PROD000154,102,19,25,2026-07-15 00:00:00
2026-07-15,STORE0002,PROD000060,222,2,25,2026-07-15 00:00:00
2026-07-15,STORE0002,PROD000195,1,0,25,2026-07-15 00:00:00
2026-07-15,STORE0002,PROD000090,151,6,25,2026-07-15 00:00:00
2026-07-15,STORE0002,PROD000161,76,17,25,2026-07-15 00:00:00
2026-07-15,STORE0002,PROD000063,31,1,25,2026-07-15 00:00:00
2026-07-15,STORE0002,PROD000004,15,7,25,2026-07-15 00:00:00
2026-07-15,STORE0002,PROD000020,48,9,25,2026-07-15 00:00:00
2026-07-15,STORE0002,PROD000109,163,10,25,2026-07-15 00:00:00
2026-07-15,STORE0002,PROD000143,53,18,25,2026-07-15 00:00:00
2026-07-15,STORE0002,PROD000071,48,3,25,2026-07-15 00:00:00
2026-07-15,STORE0002,PROD000159,162,15,25,2026-07-15 00:00:00
2026-07-15,STORE0002,PROD000124,79,4,25,2026-07-15 00:00:00
2026-07-15,STORE0002,PROD000016,36,2,25,2026-07-15 00:00:00
2026-07-15,STORE0002,PROD000185,110,11,25,2026-07-15 00:00:00
2026-07-15,STORE0002,PROD000017,249,18,25,2026-07-15 00:00:00
2026-07-15,STORE0002,PROD000168,128,3,25,2026-07-15 00:00:00
2026-07-15,STORE0002,PROD000165,21,11,25,2026-07-15 00:00:00
2026-07-15,STORE0002,PROD000034,188,15,25,2026-07-15 00:00:00
2026-07-15,STORE0002,PROD000101,198,18,25,2026-07-15 00:00:00
2026-07-15,STORE0002,PROD000137,193,2,25,2026-07-15 00:00:00
2026-07-15,STORE0002,PROD000092,240,6,25,2026-07-15 00:00:00
2026-07-15,STORE0002,PROD000032,99,14,25,2026-07-15 00:00:00
2026-07-15,STORE0002,PROD000028,170,16,25,2026-07-15 00:00:00
