order_item_id,order_id,product_id,quantity,unit_price,discount_amount,line_total,updated_at
OI00000001,ORD0000001,PROD000192,3,122.14,0.0,366.42,2026-08-12 22:41:59
OI00000002,ORD0000001,PROD000047,2,125.52,0.0,251.04,2026-08-12 22:41:59
OI00000003,ORD0000001,PROD000114,2,36.68,0.0,73.36,2026-08-12 22:41:59
OI00000004,ORD0000001,PROD000157,1,230.53,0.0,230.53,2026-08-12 22:41:59
OI00000005,ORD0000002,PROD000048,4,312.1,0.0,1248.4,2026-06-09 18:07:22
OI00000006,ORD0000002,PROD000198,1,307.49,0.0,307.49,2026-06-09 18:07:22
OI00000007,ORD0000003,PROD000175,2,395.9,39.59,752.21,2026-02-21 17:17:43
OI00000008,ORD0000004,PROD000182,1,116.92,11.69,105.23,2026-06-21 15:02:17
OI00000009,ORD0000005,PROD000017,1,177.67,0.0,177.67,2026-06-23 10:35:12
OI00000010,ORD0000005,PROD000165,1,95.13,0.0,95.13,2026-06-23 10:35:12
OI00000011,ORD0000006,PROD000158,3,391.88,0.0,1175.64,2026-04-28 07:54:43
OI00000012,ORD0000007,PROD000194,1,99.76,0.0,99.76,2026-08-08 01:03:54
OI00000013,ORD0000008,PROD000002,1,68.17,0.0,68.17,2026-02-28 00:14:03
OI00000014,ORD0000008,PROD000109,1,87.72,0.0,87.72,2026-02-28 00:14:03
OI00000015,ORD0000009,PROD000017,2,177.67,0.0,355.34,2026-08-10 15:04:58
OI00000016,ORD0000010,PROD000067,4,181.48,36.3,689.62,2026-02-22 01:51:40
OI00000017,ORD0000011,PROD000163,1,379.9,0.0,379.9,2026-06-30 04:15:04
OI00000018,ORD0000011,PROD000033,1,240.82,0.0,240.82,2026-06-30 04:15:04
OI00000019,ORD0000012,PROD000179,1,100.96,0.0,100.96,2026-03-05 04:08:03
OI00000020,ORD0000013,PROD000065,2,459.64,0.0,919.28,2026-02-28 00:54:24
OI00000021,ORD0000013,PROD000170,1,39.7,0.0,39.7,2026-02-28 00:54:24
OI00000022,ORD0000013,PROD000187,2,260.32,0.0,520.64,2026-02-28 00:54:24
OI00000023,ORD0000014,PROD000169,2,53.52,0.0,107.04,2026-02-21 15:33:21
OI00000024,ORD0000015,PROD000176,1,395.87,0.0,395.87,2026-07-12 07:40:32
OI00000025,ORD0000015,PROD000124,1,396.34,0.0,396.34,2026-07-12 07:40:32
OI00000026,ORD0000016,PROD000088,2,381.45,0.0,762.9,2026-06-28 15:48:22
OI00000027,ORD0000017,PROD000158,1,391.88,0.0,391.88,2026-06-27 00:42:43
OI00000028,ORD0000017,PROD000014,1,171.48,17.15,154.33,2026-06-27 00:42:43
OI00000029,ORD0000018,PROD000163,2,379.9,0.0,759.8,2026-05-14 22:42:30
OI00000030,ORD0000018,PROD000159,1,90.28,0.0,90.28,2026-05-14 22:42:30
OI00000031,ORD0000018,PROD000094,2,170.67,0.0,341.34,2026-05-14 22:42:30
OI00000032,ORD0000019,PROD000093,1,51.13,0.0,51.13,2026-07-28 14:44:14
OI00000033,ORD0000019,PROD000105,4,230.76,0.0,923.04,2026-07-28 14:44:14
OI00000034,ORD0000020,PROD000101,4,140.13,0.0,560.52,2026-02-24 00:07:09
OI00000035,ORD0000020,PROD000012,1,374.67,0.0,374.67,2026-02-24 00:07:09
OI00000036,ORD0000021,PROD000074,3,260.67,0.0,782.01,2026-03-31 11:54:35
OI00000037,ORD0000022,PROD000067,1,181.48,0.0,181.48,2026-05-24 13:50:56
OI00000038,ORD0000023,PROD000035,1,197.66,0.0,197.66,2026-07-24 05:56:45
OI00000039,ORD0000023,PROD000051,1,128.31,25.66,102.65,2026-07-24 05:56:45
OI00000040,ORD0000023,PROD000052,1,289.95,0.0,289.95,2026-07-24 05:56:45
OI00000041,ORD0000023,PROD000151,2,220.37,0.0,440.74,2026-07-24 05:56:45
OI00000042,ORD0000024,PROD000164,2,179.02,17.9,340.14,2026-03-26 00:15:03
OI00000043,ORD0000024,PROD000139,2,48.21,0.0,96.42,2026-03-26 00:15:03
OI00000044,ORD0000024,PROD000057,1,282.26,28.23,254.03,2026-03-26 00:15:03
OI00000045,ORD0000024,PROD000021,2,325.45,0.0,650.9,2026-03-26 00:15:03
OI00000046,ORD0000025,PROD000163,2,379.9,37.99,721.81,2026-04-03 02:45:23
OI00000047,ORD0000025,PROD000111,2,209.32,0.0,418.64,2026-04-03 02:45:23
OI00000048,ORD0000026,PROD000161,1,310.12,0.0,310.12,2026-06-11 12:15:25
OI00000049,ORD0000026,PROD000042,1,358.03,0.0,358.03,2026-06-11 12:15:25
OI00000050,ORD0000026,PROD000104,1,219.63,0.0,219.63,2026-06-11 12:15:25
OI00000051,ORD0000026,PROD000071,1,259.22,0.0,259.22,2026-06-11 12:15:25
