product_id,sku,product_name,category,subcategory,brand,unit_cost,unit_price,is_active,created_at,updated_at
PROD000001,SKU-APP-00001,Meridian Women's Wear Signature 1,Apparel,Women's Wear,Meridian,127.29,240.76,TRUE,2025-05-26 19:24:25,2025-08-31 19:24:25
PROD000002,SKU-ELE-00002,Urban Edge Wearables Pro 2,Electronics,Wearables,Urban Edge,36.32,68.17,TRUE,2025-08-20 21:26:09,2025-11-01 21:26:09
PROD000003,SKU-APP-00003,Urban Edge Men's Wear Signature 3,Apparel,Men's Wear,Urban Edge,130.68,265.29,TRUE,2026-01-24 10:05:08,2026-07-07 10:05:08
PROD000004,SKU-BEA-00004,Vanta Fragrance Signature 4,Beauty,Fragrance,Vanta,34.82,71.87,TRUE,2026-02-20 14:22:14,2026-04-08 14:22:14
PROD000005,SKU-BEA-00005,Bluepeak Fragrance Everyday 5,Beauty,Fragrance,Bluepeak,129.05,219.89,TRUE,2025-09-03 08:02:36,2026-01-04 08:02:36
PROD000006,SKU-GRO-00006,Urban Edge Snacks Lite 6,Grocery,Snacks,Urban Edge,132.24,276.33,TRUE,2025-03-08 15:33:05,2025-07-19 15:33:05
PROD000007,SKU-GRO-00007,Tidal Snacks Signature 7,Grocery,Snacks,Tidal,144.26,255.16,TRUE,2023-11-30 13:34:49,2023-12-02 13:34:49
PROD000008,SKU-GRO-00008,Meridian Dairy Lite 8,Grocery,Dairy,Meridian,65.47,181.13,TRUE,2025-04-08 12:10:02,2025-10-02 12:10:02
PROD000009,SKU-BEA-00009,Northfield Makeup Lite 9,Beauty,Makeup,Northfield,114.39,247.91,TRUE,2023-11-27 18:18:51,2024-06-02 18:18:51
PROD000010,SKU-GRO-00010,Urban Edge Snacks Everyday 10,Grocery,Snacks,Urban Edge,92.49,238.36,TRUE,2025-03-05 12:08:39,2025-05-15 12:08:39
PROD000011,SKU-APP-00011,Vanta Men's Wear Everyday 11,Apparel,Men's Wear,Vanta,33.91,74.18,TRUE,2024-06-18 18:28:23,2024-08-01 18:28:23
PROD000012,SKU-ELE-00012,Urban Edge Wearables Signature 12,Electronics,Wearables,Urban Edge,144.49,374.67,TRUE,2025-07-16 09:09:38,2025-08-24 09:09:38
PROD000013,SKU-GRO-00013,Bluepeak Packaged Foods Classic 13,Grocery,Packaged Foods,Bluepeak,119.94,286.54,TRUE,2024-07-21 11:36:46,2024-10-17 11:36:46
PROD000014,SKU-APP-00014,Urban Edge Men's Wear Pro 14,Apparel,Men's Wear,Urban Edge,85.13,171.48,TRUE,2026-04-15 19:48:59,2026-08-29 19:48:59
PROD000015,SKU-GRO-00015,Everline Packaged Foods Signature 15,Grocery,Packaged Foods,Everline,28.69,74.75,TRUE,2023-09-07 12:59:51,2023-12-30 12:59:51
PROD000016,SKU-BEA-00016,Cascade Skincare Everyday 16,Beauty,Skincare,Cascade,165.44,373.26,TRUE,2026-01-14 17:58:41,2026-03-24 17:58:41
PROD000017,SKU-APP-00017,Vanta Kids Wear Pro 17,Apparel,Kids Wear,Vanta,72.23,177.67,TRUE,2024-12-21 19:43:37,2025-07-06 19:43:37
