store_id,store_name,store_type,region,city,state,country,open_date,updated_at
STORE0001,RetailCo E-Commerce,ONLINE,Northeast,New York,NY,USA,2024-05-22,2026-08-13 00:00:00
STORE0002,RetailCo Boston,PHYSICAL,Northeast,Boston,MA,USA,2025-07-01,2026-08-13 00:00:00
STORE0003,RetailCo Philadelphia,PHYSICAL,Northeast,Philadelphia,PA,USA,2025-03-25,2026-08-13 00:00:00
STORE0004,RetailCo Los Angeles,PHYSICAL,West,Los Angeles,CA,USA,2024-07-19,2026-08-13 00:00:00
STORE0005,RetailCo Seattle,PHYSICAL,West,Seattle,WA,USA,2025-10-30,2026-08-13 00:00:00
STORE0006,RetailCo San Diego,PHYSICAL,West,San Diego,CA,USA,2023-05-16,2026-08-13 00:00:00
STORE0007,RetailCo Houston,PHYSICAL,South,Houston,TX,USA,2022-05-17,2026-08-13 00:00:00
STORE0008,RetailCo Dallas,PHYSICAL,South,Dallas,TX,USA,2024-10-21,2026-08-13 00:00:00
STORE0009,RetailCo Austin,PHYSICAL,South,Austin,TX,USA,2022-11-13,2026-08-13 00:00:00
STORE0010,RetailCo Atlanta,PHYSICAL,South,Atlanta,GA,USA,2023-06-21,2026-08-13 00:00:00
STORE0011,RetailCo Miami,PHYSICAL,South,Miami,FL,USA,2023-02-25,2026-08-13 00:00:00
STORE0012,RetailCo Chicago,PHYSICAL,Midwest,Chicago,IL,USA,2023-03-21,2026-08-13 00:00:00
STORE0013,RetailCo Denver,PHYSICAL,Midwest,Denver,CO,USA,2023-08-08,2026-08-13 00:00:00
